Source,Invoice No,Date,Due Date,Shipment,Consol,PO,Containers,Consignor,Origin,Destination,ETA,Total Pkgs,Charge Code,Description,Standardised Description,Details,Qty,Currency,Rate,Conversion Rate,GST Y/N,Amount (Ex GST),GST,Amount (Inc GST),Invoice Total (Ex GST),Invoice Total (Inc GST)
AFER,S00005373,03-Jul-25,30-Aug-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Delivery Cartage Demurrage- TRHU3597141,Cartage,Empty Park: SWIFT,1.0,AUD,63.65,1.0,Y,63.65,6.37,70.02,63.65,70.02
AFER,S00005100,15-Jul-25,30-Aug-25,S00005100,C00004352,3800,PCIU1537289 (20GP),"CHAU GIANG FOOD PROCESSING TRADE CO.,LTD H2COCO PTY LTD",Cat Lai,Melbourne,09-Apr-25,2981,,Import Container Detention- ChargeStartDate:24/04/2025,Import Container Detention- ChargeStartDate:24/04/2025,,1.0,AUD,100.0,1.0,Y,100.0,10.0,110.0,100.0,110.0
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Destination Documentation Fee,Documentation Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,International Freight,International Freight,MAY FRT USD700 PIL,1.0,USD,1131.62,0.618582,N,1131.62,0.0,1131.62,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Delivery Cartage,Cartage,,1.0,AUD,870.0,1.0,Y,870.0,87.0,957.0,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Delivery Cartage Booking Fees,Delivery Booking Fees,,1.0,AUD,677.0,1.0,Y,677.0,67.7,744.7,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,217.5,1.0,Y,217.5,21.75,239.25,4169.12,4379.07
AFER,S00005373,26-Jun-25,30-Jul-25,S00005373,C00004539,3976,TRHU3597141 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Ho Chi Minh City,Sydney,22-Jun-25,2862,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,1.0,AUD,50.0,1.0,Y,50.0,5.0,55.0,4169.12,4379.07
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,International Freight,International Freight,JUN FRT USD700,1.0,USD,1146.23,0.610698,N,1146.23,0.0,1146.23,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Cartage,Cartage,,1.0,AUD,870.0,1.0,Y,870.0,87.0,957.0,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Cartage Booking Fees,Delivery Booking Fees,,1.0,AUD,677.0,1.0,Y,677.0,67.7,744.7,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,217.5,1.0,Y,217.5,21.75,239.25,4183.73,4393.68
AFER,S00005468,21-Jun-25,30-Jul-25,S00005468,C00004616,4069,PCIU1617234 (20GP),"ALOEFIELD BEVERAGE CO., LTD H2COCO PTY LTD",Cat Lai,Sydney,20-Jun-25,2650,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,1.0,AUD,50.0,1.0,Y,50.0,5.0,55.0,4183.73,4393.68
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,International Freight,International Freight,MAY FRT USD700 PIL,1.0,USD,1137.06,0.615623,N,1137.06,0.0,1137.06,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,720.0,1.0,N,720.0,0.0,720.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Delivery Cartage,Cartage,,1.0,AUD,500.0,1.0,Y,500.0,50.0,550.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Delivery Cartage Booking Fees,Delivery Booking Fees,,1.0,AUD,555.0,1.0,Y,555.0,55.5,610.5,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,3615.06,3769.06
AFER,S00005438,28-Jun-25,30-Jul-25,S00005438,C00004596,4027,PCIU1002440 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Ho Chi Minh City,Brisbane,27-Jun-25,1408,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,1.0,AUD,50.0,1.0,Y,50.0,5.0,55.0,3615.06,3769.06
AFER,S00005510,30-Jun-25,30-Jul-25,S00005510,C00004642,4052,CSLU1657543 (20GP),V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Fremantle,27-Jun-25,1408,,Destination Quarantine Service Payment,Destination Quarantine Service Payment,,1.0,AUD,65.0,1.0,N,65.0,0.0,65.0,65.0,65.0
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Quarantine Processing Charge,Customs Disbursements,,1.0,AUD,66.0,1.0,N,66.0,0.0,66.0,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Import Processing Charges,Customs Disbursements,,1.0,AUD,152.0,1.0,N,152.0,0.0,152.0,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Customs Clearance,Customs Clearance Fee,,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,International Freight,International Freight,MAY FRT USD700 PIL,2.0,USD,1131.62,0.30929,N,2263.25,0.0,2263.25,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Order Fee,Delivery Order Fee,,1.0,AUD,150.0,1.0,Y,150.0,15.0,165.0,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Terminal Handling Charges,Destination Terminal Handling Charges,,1.0,AUD,1440.0,1.0,N,1440.0,0.0,1440.0,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Cartage,Cartage,,2.0,AUD,870.0,1.0,Y,1740.0,174.0,1914.0,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Cartage Booking Fees,Delivery Booking Fees,,2.0,AUD,677.0,1.0,Y,1354.0,135.4,1489.4,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Delivery Fuel Surcharge,Cartage Fuel Levy,,1.0,AUD,435.0,1.0,Y,435.0,43.5,478.5,7785.25,8171.65
AFER,S00005406,26-Jun-25,30-Jul-25,S00005406,C00004569,3991,"PCIU1424071 (20GP), PCIU1685692 (20GP)",V.U.A AGRICULTURE CORP H2COCO PTY LTD,Cat Lai,Sydney,22-Jun-25,2816,,Destination Sea Cargo Automation Fee,Sea Cargo Automation Fee,,2.0,AUD,25.0,1.0,Y,50.0,5.0,55.0,7785.25,8171.65
